TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
dbo|t4441_cm_picking_mov_seriales|f4441_rowid_serial|2|PK_t4441
dbo|t4442_cm_picking_mov_destare|f4442_rowid|1|PK_t4442
dbo|t4443_cm_picking_mov_tareas|f4443_rowid_picking_movto|1|PK_t4443
dbo|t4443_cm_picking_mov_tareas|f4443_orden|2|PK_t4443
dbo|t445_req_int_rel_op|f445_rowid_op_docto|1|PK_t445
dbo|t445_req_int_rel_op|f445_rowid_req_docto|2|PK_t445
dbo|t446_cm_docto_inv_item|f446_rowid|1|PK_t446
dbo|t447_cm_movto_inv_item|f447_rowid|1|PK_t447
dbo|t448_cm_docto_vta_item|f448_rowid|1|PK_t448
dbo|t449_cm_movto_vta_item|f449_rowid|1|PK_t449
dbo|t4491_cm_movto_vta_item_imp|f4491_rowid_movto_vta_item|1|PK_t4491
dbo|t4491_cm_movto_vta_item_imp|f4491_id_llave_imp|2|PK_t4491
dbo|t4492_cm_movto_vta_item_dscto|f4492_rowid_movto_vta_item|1|PK_t4492
dbo|t4492_cm_movto_vta_item_dscto|f4492_orden|2|PK_t4492
dbo|t4492_cm_movto_vta_item_dscto|f4492_ind_tipo_dscto|3|PK_t4492
dbo|t450_cm_docto_invent|f450_rowid_docto|1|PK_t450
dbo|t451_cm_docto_compras|f451_rowid_docto|1|PK_t451
dbo|t4511_cm_ad_docto|f4511_rowid|1|PK_t4511
